venue,year,paper_type,title,speakers,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,youtube_id,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
QCRYPT,2020,invited,Security proofs for continuous-variable quantum key distribution,Anthony Leverrier,,,,,,https://www.youtube.com/watch?v=uKa00SmLC0U,uKa00SmLC0U,Invited Talk,,Session URL: ../sessions/invited_leverrier/index.html; yt_match=1.00; session_chair=Frédéric Dupuis,2020-08-10,14:30,
QCRYPT,2020,regular,Succinct Blind Quantum Computation Using a Random Oracle,,Jiayu Zhang,,"In the universal blind quantum computation problem, a client wants to make use of a single quantum server to evaluate $C\ket{0}$ where $C$ is an arbitrary quantum circuit while keeping $C$ secret. The client's goal is to use as few resources as possible. This problem, first raised by Broadbent, Fitzsimons and Kashefi\cite{UBQC}, has become fundamental to the study of quantum cryptography, not only because of its own importance, but also because it provides a testbed for new techniques that were later applied to related problems (for example, quantum computation verification). Previous works on this problem mainly focused on either information-theoretically (IT) secure protocols or techniques based on trapdoor assumptions (public key encryptions).\par In this paper we study how the availability of symmetric-key primitives, modeled by a random oracle, changes the complexity of universal blind quantum computation. We give a new universal blind quantum computation protocol. Similar to previous works on IT-secure protocols (for example, BFK\cite{UBQC}), our protocol has an offline phase and an online phase. In the offline phase the client prepares some quantum gadgets with relatively simple quantum gates and sends them to the server, and in the online phase the client is entirely classical --- it does not even need quantum storage. Crucially, the protocol's offline phase is \emph{succinct}, that is, its complexity is independent of the circuit size. Its complexity is only $poly(\kappa)$ where $poly$ is a fixed polynomial, and can be used to evaluate any circuit (or several circuits) of size up to $subexp(\kappa)$. In contrast, known schemes either require the client to perform quantum computations that scale with the size of the circuit \cite{UBQC}, or require trapdoor assumptions \cite{Mahadev2017}.",,,,,Contributed Talks 1a: Quantum MPC (Chairs: Omar Fawzi and Carl Miller),Best Student Paper Award (Theory) — Jiayu Zhang,Session URL: ../sessions/contributed1a/index.html,2020-08-10,15:45,
QCRYPT,2020,regular,Secure Multi-party Quantum Computation with a Dishonest Majority,,Yfke Dulek;Alex Grilo;Stacey Jeffery;Christian Majenz;Christian Schaffner,,"The cryptographic task of secure multi-party (classical) computation has received a lot of attention in the last decades. Even in the extreme case where a computation is performed be- tween k mutually distrustful players, and security is required even for the single honest player if all other players are colluding adversaries, secure protocols are known. For quantum com- putation, on the other hand, protocols allowing arbitrary dishonest majority have only been proven for k = 2. In this work, we generalize the approach taken by Dupuis, Nielsen and Salvail (CRYPTO 2012) in the two-party setting to devise a secure, efficient protocol for multi- party quantum computation for any number of players k, and prove security against up to k − 1 colluding adversaries. The quantum round complexity of the protocol for computing a quantum circuit of {CNOT, T} depth d is O(k · (d + log n)), where n is the security parameter. To achieve efficiency, we develop a novel public verification protocol for the Clifford authen- tication code, and a testing protocol for magic-state inputs, both using classical multi-party computation.",,,,,Contributed Talks 1a: Quantum MPC (Chairs: Omar Fawzi and Carl Miller),,Session URL: ../sessions/contributed1a/index.html,2020-08-10,15:45,
QCRYPT,2020,regular,Non-interactive classical verification of quantum computation,,Gorjan Alagic;Andrew M. Childs;Alex B. Grilo;Shih-Han Hung,,"In a recent breakthrough, Mahadev constructed an interactive protocol that enables a purely classical party to delegate any quantum computation to an untrusted quantum prover. In this work, we show that this same task can in fact be performed non-interactively and in zero-knowledge. Our protocols result from a sequence of significant improvements to the original four-message protocol of Mahadev. We begin by making the first message instance-independent and moving it to an offline setup phase. We then establish a parallel repetition theorem for the resulting three-message protocol, with an asymptotically optimal rate. This, in turn, enables an application of the Fiat-Shamir heuristic, eliminating the second message and giving a non-interactive protocol. Finally, we employ classical non-interactive zero-knowledge (NIZK) arguments and classical fully homomorphic encryption (FHE) to give a zero-knowledge variant of this construction. This yields the first purely classical NIZK argument system for QMA, a quantum analogue of NP. We establish the security of our protocols under standard assumptions in quantum-secure cryptography. Specifically, our protocols are secure in the Quantum Random Oracle Model, under the assumption that Learning with Errors is quantumly hard. The NIZK construction also requires circuit-private FHE.",,,https://www.youtube.com/watch?v=zfC1lZA8Q3Y,zfC1lZA8Q3Y,Contributed Talks 1a: Quantum MPC (Chairs: Omar Fawzi and Carl Miller),,Session URL: ../sessions/contributed1a/index.html; yt_match=1.00,2020-08-10,15:45,
QCRYPT,2020,regular,Impossibility of Quantum Virtual Black-Box Obfuscation of Classical Circuits,,Gorjan Alagic;Zvika Brakerski;Yfke Dulek;Christian Schaffner,,"Virtual black-box obfuscation is a strong cryptographic primitive: it encrypts a circuit while maintaining its full input/output functionality. A remarkable result by Barak et al. (Crypto 2001) shows that a general obfuscator that obfuscates classical circuits into classical circuits can- not exist. A promising direction that circumvents this impossibility result is to obfuscate classical circuits into quantum states, which would potentially be better capable of hiding information about the obfuscated circuit. We show that, under the assumption that learning-with-errors (LWE) is hard for quantum computers, this quantum variant of virtual black-box obfuscation of classical circuits is generally impossible. On the way, we show that under the presence of dependent classical auxiliary input, even the small class of classical point functions cannot be quantum virtual black-box obfuscated.",,,https://www.youtube.com/watch?v=43ZjTjixa1Y,43ZjTjixa1Y,Contributed Talks 1b: Mostly Theory (Chairs: Omar Fawzi and Carl Miller),,Session URL: ../sessions/contributed1b/index.html; yt_match=1.00,2020-08-10,16:30,
QCRYPT,2020,regular,Scalable Pseudorandom Quantum States,,Zvika Brakerski;Omri Shmueli,,"Efficiently sampling a quantum state that is hard to distinguish from a truly random quantum state is an elementary task in quantum information theory that has both computational and physical uses. This is often referred to as pseudorandom (quantum) state generator, or PRS generator for short. In existing constructions of PRS generators, security scales with the number of qubits in the states, i.e. the (statistical) security parameter for an n-qubit PRS is roughly n. Perhaps counter-intuitively, n-qubit PRS are not known to imply k-qubit PRS even for k<n. Therefore the question of \emph{scalability} for PRS was thus far open: is it possible to construct n-qubit PRS generators with security parameter m for all n, m. Indeed, we believe that PRS with tiny (even constant) n and large m can be quite useful. We resolve the problem in this work, showing that any quantum-secure one-way function implies scalable PRS. We follow the paradigm of first showing a \emph{statistically} secure construction when given oracle access to a random function, and then replacing the random function with a quantum-secure (classical) pseudorandom function to achieve computational security. However, our methods deviate significantly from prior works since scalable pseudorandom states require randomizing the amplitudes of the quantum state, and not just the phase as in all prior works. We show how to achieve this using Gaussian sampling.",,,https://www.youtube.com/watch?v=Adgip7lGPuQ,Adgip7lGPuQ,Contributed Talks 1b: Mostly Theory (Chairs: Omar Fawzi and Carl Miller),,Session URL: ../sessions/contributed1b/index.html; yt_match=1.00,2020-08-10,16:30,
QCRYPT,2020,regular,A Quantum Money Solution to the Blockchain Scalability Problem,,Andrea Coladangelo;Or Sattath,,"We put forward the idea that classical blockchains and smart contracts are potentially useful primitives not only for classical cryptography, but for quantum cryptography as well. Abstractly, a smart contract is a functionality that allows parties to deposit funds, and release them upon fulfillment of algorithmically checkable conditions, and can thus be employed as a formal tool to enforce monetary incentives. In this work, we give the first example of the use of smart contracts in a quantum setting. We describe a simple hybrid classical-quantum payment system whose main ingredients are a classical blockchain capable of handling stateful smart contracts, and quantum lightning, a strengthening of public-key quantum money introduced by Zhandry (Eurocrypt'19). Our hybrid payment system employs quantum states as banknotes and a classical blockchain to settle disputes and to keep track of the valid serial numbers. It has several desirable properties: it is decentralized, requiring no trust in any single entity; payments are as quick as quantum communication, regardless of the total number of users; when a quantum banknote is damaged or lost, the rightful owner can recover the lost value.",,,https://www.youtube.com/watch?v=P5fpNHi9wLc,P5fpNHi9wLc,Contributed Talks 1b: Mostly Theory (Chairs: Omar Fawzi and Carl Miller),,Session URL: ../sessions/contributed1b/index.html; yt_match=1.00,2020-08-10,16:30,
QCRYPT,2020,regular,Experimental quantum conference key agreement,,Alessandro Fedrizzi;Massimiliano Proietti;Joseph Ho;Federico Grasselli;Peter Barrow;Mehul Malik,,"Paradigmatic QKD protocols establish secure keys between pairs of users, however when more than two parties want to communicate, recently introduced quantum conference quantum key agreement (CKA) protocols can outperform 2-party primitives in terms of resource cost. In this contribution we report an implementation of a four-user quantum CKA protocol using polarisation-encoded multi-partite GHZ states at telecom wavelength. We distribute these states over up to 50km of optical fibre and implement custom multiparty error correction and privacy amplification on the resulting raw keys. From a finite-key analysis, we establish an information-theoretic secure key of up to 1.15 × 10^6 bits, which is used to encrypt and securely share an image between the four users. Surpassing the previous maximum distance for GHZ state transmission by more than an order of magnitude, these results demonstrate the viability of network protocols relying on multi-partite-entanglement. Future applications beyond quantum CKA include entanglement-assisted remote clock-synchronization, quantum secret sharing, and GHZ-based repeater protocols.",,,https://www.youtube.com/watch?v=_CENmHSn_U4,_CENmHSn_U4,Contributed Talks 1b: Mostly Theory (Chairs: Omar Fawzi and Carl Miller),,Session URL: ../sessions/contributed1b/index.html; yt_match=1.00,2020-08-10,16:30,
QCRYPT,2020,regular,High-Speed Measurement-Device-Independent Quantum Key Distribution with Integrated Silicon Photonics,,Wei Li;Kejin Wei;Hao Tan;Yang Li;Hao Min;Wei-Jun Zhang;Hao Li;Lixing You;Zhen Wang;Xiao Jiang;Teng Yun Chen;Sheng-Kai Liao;Cheng-Zhi Peng;Feihu Xu;Jian-Wei Pan,,"Measurement-device-independent quantum key distribution (MDI-QKD) removes all detector side channels and enables secure QKD with an untrusted relay. It is suitable for building a star-type quantum access network, where the complicated and expensive measurement devices are placed in the central untrusted relay and each user requires only a low-cost transmitter, such as an integrated photonic chip. Here, we experimentally demonstrate a 1.25 GHz silicon photonic chip-based MDI-QKD system using polarization encoding. The photonic chip transmitters integrate the necessary encoding components for a standard QKD source. We implement random modulations of polarization states and decoy intensities, and demonstrate a finite-key secret rate of 31 bps over 36 dB channel loss (or 180 km standard fiber). This key rate is higher than state-of-the-art MDI-QKD experiments. The results show that silicon photonic chip-based MDI-QKD, benefiting from miniaturization, low-cost manufacture and compatibility with CMOS microelectronics, is a promising solution for future quantum secure networks.",,,https://www.youtube.com/watch?v=vfe_zD4FWk0,vfe_zD4FWk0,Contributed Talks 2a: Experiments: QKD and beyond (Chairs: Qiang Zhang and Vadim Makarov),,Session URL: ../sessions/contributed2a/index.html; yt_match=0.80,2020-08-11,11:00,
QCRYPT,2020,regular,Experimental Measurement-Device-Independent Quantum Key Distribution with Uncharacterized Sources,,Xing-Yu Zhou;Hua-Jian Ding;Chun-Hui Zhang;Qin Wang,,"The measurement-device-independent quantum key distribution (MDI-QKD) protocol plays an important role in quantum communications due to its high level of security and practicability. It can be immune to all side-channel attacks directed on the detecting devices. However, the protocol still contains strict requirements during state preparation in most existing MDI-QKD schemes, e.g., perfect state preparation or perfectly characterized sources, which are very hard to realize in practice. In this letter, we investigate uncharacterized MDI-QKD by utilizing a three-state method, greatly reducing the finite-size effect. The only requirement for state preparation is that the state are prepared in a bidimensional Hilbert space. Furthermore, a proof-of-principle demonstration over a 170 km transmission distance is achieved, representing the longest transmission distance under the same security level on record.",,,https://www.youtube.com/watch?v=Gif4eh5lenA,Gif4eh5lenA,Contributed Talks 2a: Experiments: QKD and beyond (Chairs: Qiang Zhang and Vadim Makarov),,Session URL: ../sessions/contributed2a/index.html; yt_match=0.77,2020-08-11,11:00,
